timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-04-16T11:00	baseline	novelty-assessment	-	64.75	baseline	-	初始评估	dry_run
2026-04-16T11:03	84bf448	novelty-assessment	64.75	78.2	keep	检查点+边界+引用	增加检查点A/B+快速筛选+修复路径+fallback	dry_run
2026-04-16T11:06	ded0126	novelty-assessment	78.2	82.5	keep	指令具体性	量化筛选条件+refutation示例+修复建议数量矛盾	dry_run
2026-04-16T11:09	c759c20	novelty-assessment	82.5	80.2	revert	边界条件	合并追问到检查点A+PDF处理+跳过机制（评分校准差异）	dry_run
2026-04-16T11:35	4c5b509	novelty-assessment	82.5	90.3	keep	外部知识注入	Smart Plagiarism+Disruption vs Novelty+Fertile Ground+LLM时代注意事项+2025锚点（真实web搜索注入）	dry_run
2026-04-16T12:00	9d96fd6	novelty-assessment	85.0	85.6	keep	指令具体性	加权计算示例+ASCII柱状图模板+输出长度控制(R5,独立子agent评分,新基准更严格)	independent_agent
2026-04-16T12:30	0983c11	novelty-assessment	85.6	91.0	keep	检查点设计	A2快速筛选确认(三选一)+B0评分自检三条核查(极端分/方差/锚点对标)	independent_agent
2026-04-16T14:00	uncommitted	novelty-assessment	91.0	88.0	revert	整体架构	R7重组评估原则为§A哲学/§B方法论/§C陷阱三大类(D7:7→8但评估者严格度漂移导致总分下降,棘轮机制触发revert)	independent_agent
2026-04-16T14:30	e5dd2ba	novelty-assessment	91.0	93.5	keep	实测表现	R8追加One-Shot完整示例(RL优化CoT案例)-D8明显提升+D5中等提升+D7持平,pairwise配对评分规避基准漂移	pairwise_agent
2026-04-16T16:00	2844ee4	novelty-assessment	93.5	95.0	keep	指令具体性+工作流	R9 Phase 1.0结构化Novelty Verification Pipeline(DeepReview z1启发:查询扩展+Top-K检索+Rerank+Refutation Chain+Pipeline自检+检查点A3),D2:9→9.3 D5:9→9.4	dry_run_pairwise
2026-04-16T16:15	fd9be65	novelty-assessment	95.0	95.8	keep	边界条件覆盖	R10 B0.5 LLM偏见反制(NovBench启发,Over-Positive/Missing Multi-Innovations/Bold保守3条主动反偏见检查),D3:8→9.2	dry_run_pairwise
2026-04-16T16:30	92564ff	novelty-assessment	95.8	96.3	keep	整体架构	R11 Phase 2.5内部多视角自检(AgentReview启发,Optimist/Pessimist/Meta-Reviewer三角色blind synthesis,对边缘/极端分触发),D7:8→8.8	dry_run_pairwise
2026-04-16T16:45	13c1a4b	novelty-assessment	96.3	97.0	keep	资源整合度	R12 methodology.md §9整合7系统原理+性能对标表(Stanford/DeepReview/AgentReview/debashis1983/NovBench/OpenReviewer/poldrack/OpenAIReview),SKILL.md定位Quality Review,D6:8→9.4	dry_run_pairwise
2026-04-16T16:00	uncommitted	novelty-assessment	97.0	97.8	keep	系统性偏高修正	R13 用户实战诊断反馈-针对"组合型创新"评分膨胀-9条修复打包:Fix1组合处罚(维度2≤4+标签)+Fix2维度一内部30/40/30切分+Fix3cannot_refute双层(概念+实验)+Fix4A4术语剥离测试+Fix5B0.5阈值下调(≥3维/均值6.5/最低5)+Fix6Phase0.5组合型触发+Fix7B0.7toy-only折扣+Fix8Phase0去锚定+Fix9B0one-shot±1.5对标-干跑回归"三合一"案例6.4→4.35,收敛2.05分,D3/D4检查点设计提升	dry_run_regression
2026-04-16T17:00	rebaseline	novelty-assessment	-	86.15	rebaseline	research-grade对照	V2收官后用研究级基准严格重评-发现结构短板(缺Taste Gate/二元refute/缺实战字段/过强声明5处)-给R14-R17预留空间	pairwise_vs_research_grade
2026-04-16T17:05	0be97e7	novelty-assessment	86.15	88.70	keep	整体架构D7	R14 新增Phase 0.8 Research Taste Gate(必答八问+1-10评分+4条硬限制)+Worth-Doing Verdict双输出决策表+检查点A2.5+输出模板'二、Taste Gate'整段-D7:8.0→9.7	pairwise_vs_research_grade
2026-04-16T17:10	f059674	novelty-assessment	88.70	90.50	keep	指令具体性D5	R15 二元can_refute/cannot_refute→四状态claim audit(directly/partially/not_refuted_yet/evidence_insufficient)+状态→分数映射表+差异层级字段(概念/机制/仅实验组合)-D5:8.5→9.7	pairwise_vs_research_grade
2026-04-16T17:15	b5fec0d	novelty-assessment	90.50	93.25	keep	实测表现D8	R16 输出模板顶部新增'Decision Dashboard'7字段(Verdict+Novelty+Taste+Confidence+Strongest Prior+Killer Risk+Decisive Test+Residual Value)+硬规则(Strongest Prior不能写'无'/Killer Risk必须单一/无Decisive Test则Verdict降档)+One-Shot示例同步-D8:8.5→9.6	pairwise_vs_research_grade
2026-04-16T17:20	3aa2b8b	novelty-assessment	93.25	95.52	keep	边界覆盖D3+资源D6准确性	R17 修剪5处过强/虚构声明:1)'Karpathy标准'名人标签→'Fertile Ground视角' 2)debashis1983'2.5倍回归权重'→'社区观察非学界定论' 3)AgentReview'15-25%bias漂移'虚构数字→去除明确为启发式 4)ICLR2026'强制披露拒稿'过度扩张→'各会议政策不同以当期call-for-papers为准' 5)ICLR2026'SOTA不拒稿'普遍断言→'近年趋势以具体指引为准'-D3:8.0→9.0	pairwise_vs_research_grade
2026-04-17T12:00	user_feedback_baseline	novelty-assessment	-	3.78	baseline	用户反馈-评分系统性偏低	4个subagent独立测试:P1 RL-CoT=4.0/4.1,P2 GNN-IB=4.5,P3 GPT-4=2.85;确认skill有10处下调机制叠加,每个idea命中3-4条硬cap,所有分数压在2.85-4.5窄区间	independent_subagent_x4
2026-04-17T12:30	eaaac18	novelty-assessment	3.78	4.3	keep	处罚叠加上限	R18 新增B0.8检查点:同时触发≥3条硬处罚时按P1-P5优先级保留2条ACTIVE其余降级软提示;带豁免条款(Novelty≤3的纯复现型不启用);解决严苛但有价值被压成纯复现相同的结构性漏洞	independent_subagent
2026-04-17T13:00	ff9db7d	novelty-assessment	4.3	4.5	keep	正向校准	R19 新增B0.9:5条加分触发B+1跨学科桥梁/B+2新可测量量/B+3 Fertile Ground/B+4 Disruption双指标/B+5朴素但美;上限+1.5;3道防线(低分<4.0限+0.3/refuted限+0.5/证据必须显式);验证未误救低novelty	independent_subagent_x2
2026-04-17T13:30	51c106c	novelty-assessment	4.5	6.5	keep	Claim Audit严格化	R20 directly_refuted判定要求三层同时满足(问题层+概念骨架+关键机制各需显式对比)+模糊输入保守处理+反稳定性陷阱;P2 GNN-IB从误判directly_refuted→正确partially_refuted;从4.5升到合理6.5;判定一致性60%→85%	independent_subagent_x2
2026-04-17T14:00	cf1c082	novelty-assessment	6.5	6.5	keep	B0.5过度乐观阈值	R21 改任一触发为2/3同时触发:均分6.5→7.0,最低维度≥5→≥6;防止无明显短板被误判过度乐观;保留典型顶会论文(5.5-7.0)合理空间	independent_subagent
2026-04-17T14:30	38cf053	novelty-assessment	6.5	6.65	keep	双锚点+极端分不对称	R22 One-Shot单锚点(4.65)扩展双锚点A档(3.2-6.2)/B档(5.0-7.5)按idea特质决定对标;极端分改不对称(低<3严格/高>8放宽/极高>9保持);P1=4.65 P2=6.5-6.8 P3=2.3,区分度1.65分→4.5分(2.7倍);稳定性P2两次run差仅0.3	independent_subagent_x3
2026-04-17T15:00	v4_summary	novelty-assessment	3.78	4.48	summary	V4收官-解决系统性偏低问题	5轮R18-R22全部保留0回滚;平均分3.78→4.48(+0.7);区分度提升2.7倍;稳定性P2 run间差0.7→0.3;用户反馈'评分不稳定每次低分'根因:10处下调机制叠加无上限+缺失正向校准+Claim Audit过宽+锚点单一偏低-V4全部修复	full_pipeline
2026-04-18T15:55	4b00bf2	novelty-assessment	-	90.65	rebaseline	R23 independent-baseline	V5启动:新独立评估者用Darwin8维重打baseline-旧97.0分非独立评估;新baseline作为R23-R25棘轮起点(P2 GNN-IB独立实测=4.7/10)	independent_subagent
2026-04-18T15:58	980dea9	novelty-assessment	90.65	92.90	keep	D5指令+D8实测+D6资源+D7架构	R23 AI-Scientist-v2启发3项:(1)Risk Factors清单(≥3条,风险点|触发|影响)替代单条Killer Risk-R23 agent识别4条含R22漏掉的"不timely"+"MI估计工程风险";(2)Decisive Test从1句→3步(Setup/Measure/Criterion)-R23输出可直接当实验SOP;(3)报告末尾JSON镜像+硬自检-agent主动抓到4.6→4.8笔误;借鉴Sakana AI FinalizeIdea+Experiments+extract_json_between_markers设计;P2 GNN-IB:4.7→4.8(系统稳定未漂移)	independent_subagent_x2
2026-04-18T16:15	a5017de	novelty-assessment	92.90	94.94	keep	D2工作流+D3边界+D7架构+D8实测	R24 AI-Scientist-v2 num_reflections启发-Phase 1.5 Reflection Pass:三步Pass(查漏/次要Claim扫描/定向补检索)+≤±0.3调分硬约束+轻量200字/深度500字两档+B0.2检查点(深度模式)+reflection_history JSON字段;P1 RL-CoT实测:agent成功识别R22漏掉的ACT(Graves2016)+CALM(Schuster2022 NeurIPS)自适应计算正交先驱家族,补录次要claim后Risk Factors从3→4条,D1从5.3→5.0恰好卡±0.3边界,最终分维持4.7与锚点4.65稳定一致	independent_subagent
2026-04-18T16:35	acc25fa	novelty-assessment	94.94	96.06	keep	D7架构+D5指令+D2工作流+D8实测	R25 AI-Scientist-v2 Experiments字段+Stanford 7维rubric启发-Feasibility独立维度+2×2 Risk-Reward矩阵:(1)Phase 0.9 Feasibility Assessment(4子项F1算力/F2数据/F3时间/F4团队,每项1-10,均值为Feasibility Score);(2)Dashboard新增Feasibility+Risk-Reward Quadrant(Unicorn/Plausible-Empty/Incremental-Practical/Avoid);(3)Worth-Doing Verdict决策表升级为三维(Taste×Novelty×Feasibility);(4)明确三层切分-Taste Gate Reasonable attack战略/Feasibility战术/Risk Factors Feasibility风险细节;(5)反Bold-Idea保守偏见-Feasibility不得受Novelty拖累;(6)新增检查点A2.8;P3 GPT-4作文评分实测:Novelty=3.2(directly_refuted被Stahl2024击穿)×Feasibility=9.3(独立高分未被拖累)→Quadrant=Incremental-Practical→Verdict升级为"workshop可考虑"(R24二维决策表会判"不建议投入")-三维决策颗粒度显著提升,为工程驱动型idea保留合理可为空间	independent_subagent
2026-04-18T16:45	v5_summary	novelty-assessment	90.65	96.06	summary	V5收官-AI-Scientist-v2+Stanford深度集成	3轮R23-R25全部保留0回滚:R23借鉴FinalizeIdea Risk Factors+Experiments+extract_json_between_markers(+2.25);R24借鉴num_reflections反思循环(+2.04);R25借鉴Experiments可行性字段+Stanford 7维rubric Feasibility概念(+1.12);累积+5.41分(90.65→96.06);SKILL.md从964行扩展到1358行(+41%,仍在150%约束内);Darwin 8维全升:D2工作流(9.2→9.6)+D3边界(9.3→9.6)+D5指令(9.5→9.9)+D6资源(9.0→9.4)+D7架构(8.5→9.5)+D8实测(9.0→9.8)	full_pipeline
